Action,Points
LEAVE in Autonomous,3
CORAL scored in L1 in Autonomous,3
CORAL scored on L2 in Autonomous,4
CORAL scored on L3 in Autonomous,6
CORAL scored on L4 in Autonomous,7
ALGAE scored in PROCESSOR in Autonomous,6
ALGAE scored in NET in Autonomous,4
CORAL scored in L1 in Teleop,2
CORAL scored on L2 in Teleop,3
CORAL scored on L3 in Teleop,4
CORAL scored on L4 in Teleop,5
ALGAE scored in PROCESSOR in Teleop,6
ALGAE scored in NET in Teleop,4
PARK in the BARGE ZONE,2
off-the-ground via shallow CAGE,6
off-the-ground via deep CAGE ,12
